" heh, thats the same theme I used on http://leetbix.net",neutral
 morning Alex hope you will be tweeting lots today as we do miss you when you aren`t on here  ****,negative
" It`s pretty good, actually! A few lame episodes, but otherwise good. Give it a try!",neutral
i dreamt about monsters last night.  like a little girl.,neutral
"  how very rude fof them, you poor girl i hope you recovered from that  awful site",neutral
Suddenly I remember all the memories with him  ohhh please,negative
" I know, that is so sad.  I",negative
dad`s posting got postponed ONE HOUR before he was meant to leave. either going to afganistan or NOWHERE. i`m sorta happy  but he`s gutted,neutral
Happy Mothers day to all the grown n happy & the lil prego smuts lol Just Playing everyone is loved.. happy Mothers Day & God Bless,positive
" ah, ok  thank youuuuuu!",positive
 You are too kind! I swear I`m always feeding someone!,positive
All ready for costume making! But... there`s no one here...!,neutral
My back is killing me...  It won`t keep me from dropping it low...hope I got someone to pick it back up tho... LOL,neutral
 the justice left when DJ Talent was voted off (N),neutral
happy star wars dayyyy =D and hbd to uncle LEE,positive
 lol. thanks babe!,positive
goodnight twitterville! really enjoyed pearl harbor. now off to sleep and cuddle with my hot man!  i will have good dreams tonight! XOXO,neutral
so tired after work...but i have King`s Bounty Add-on and A Vampyre Story for a evening  and X-men comixes is completely donloaded,negative
" - no,  is buttfuck stupid. I`m just silly and forgetful",negative
1 more day!,neutral
asks: did anyone possibly get a photo of me receiving my diploma? Dad`s camera died right at that moment.,negative
stocked for tonight,neutral
 rlly dead?  Descanse em paz... #luto #sad #RIP,negative
 yes not for putting inside anything else,neutral
 it`s not working here,negative
 soooo jelous of you right now,negative
Happy Mother`s Daaay!!,positive
" haha well i was at my friend`s party, but then i realized i forgot my stepmom`s bday, so i had to come home to call her!",neutral
_aguirre Now I wish I was going,positive
 Is it possible to a have phobia of phobias? Afraid to look at list.,negative
 NKOTB world is the best place to be,positive
"outta the shower, too bad justin couldn`t spend the night.  haha",negative
For   ? http://blip.fm/~5jbp3,neutral
L.A. said 'wipe the slate clean' before the jelly!,neutral
 wish i could  want to stay and play with u guys and enjoy a block party for once,positive
  ROFLMAO for the funny web portal  =D,positive
Ugh feeling sick to my stomach and I have five more hours of work to go,negative
"Uh. Finally home, but completely wiped.",negative
Seeing `Love at the Club` actually made me,neutral
 Have a great time in London,positive
" lol we are going to place called frosties its a soft play centre it knackers them lol, then i get peace for the gym  lol",neutral
At pool in Orlando got new kicks  going to seaworld tommrow miss my best friend,negative
: You MUST watch Grey`s. It was their 100th episode. Let me know once you do. I don`t want to give out any more details,neutral
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,positive
I hope I get the job so I can have some steady income and start eating well again. All the cheap food is horrible for you,neutral
 I MISS U CEDDY,negative
  hey hey hey b,neutral
meeting up with strangers. lol. alone in vegas. amazing.,positive
Roll on Thursday,neutral
 http://twitpic.com/4jf4m - Very interesting head gear. lol.,positive
_nichole i miss my earrings  lol you should let me know when your close by,negative
" I`m game, too bad your leaving HI!",negative
" even if I was drunk, I`d think about using a fake/temporary mail address",neutral
 it wont work in the uk,negative
 lol i`ll have to look on youtube later  thanks,positive
 jealous  it looks like schindler`s list in toronto,negative
I seriously want a pug  Buy me one?,neutral
